memesCountX	linksCountY
130	1
136	1
24	1
26	1
27	2
21	1
23	1
28	2
4	18
8	7
283	1
122	1
8026	1
1016	1
59	1
58	1
55	2
54	2
56	2
50	1
53	3
52	5
410	1
413	1
291	1
593	1
193	1
89	1
111	2
80	1
3	25
520	1
7	17
366	1
423	1
1012	1
303	1
380	1
109	1
20344	1
103	1
17133	2
106	1
248	1
245	1
39	9
38	9
33	9
32	3
31	1
30	2
37	10
36	6
35	10
34	7
333	1
60	2
62	2
63	1
64	2
68	1
176	1
170	1
2	38
184	1
6	16
461	1
3288	1
160	1
11	8
10	6
13	4
12	4
15	2
14	3
17	1
16	4
19	1
18	2
35783	1
151	2
153	1
606	1
234	2
235	1
18132	1
48	2
49	3
46	1
47	1
44	4
45	3
42	6
43	12
40	10
41	7
1	68
5	18
9	2
328	2
147	1
209	1
75	1
72	1
78	1
6469	1
