ageX	memesY
51	16

1255	1010

14	55

50	245

28	103

12	1

43	111

90	1

0	1

50	80

4	10

4	16

3	2

4	5

4	5

4	7

519	6468

4	8

4	18

2842	20339

4	6

5	40

7	10

6	2

3	1

4	11

5	2

72	6

64	153

64	209

88	460

84	412

78	10

237	332

65	107

73	283

0	519

77	379

57	328

69	168

52	1

78	1

70	120

77	193

74	1

135	4

79	238

86	423

0	593

65	328

129	8

472	38

0	10

0	2

100	17

402	1

9	1

335	2

0	3

0	1

49	7

488	4

486	3

490	11

0	7

9	1

297	2

0	8

0	2

31	106

516	6

0	8

11	1

590	135

424	6

366	9

471	24

314	3

273	3

0	7

486	8

822	3

2438	8058

405	21

399	2

496	13

0	1

504	2

501	5

325	1

0	4

0	12

155	1

131	89

162	1

149	1

146	1

153	4

96	1

1328	35749

115	1

159	2

97	1

147	4

159	303

127	56

122	1

162	1

115	1

133	128

147	2

97	1

147	1

315	1

0	1

0	3

448	16

0	7

0	1

0	1

1645	234

295	7

213	3

224	3

342	4

445	16

376	11

0	34

352	43

183	3

86	13

191	5

315	5

0	2

77	5

227	26

681	290

686	14468

177	1

231	5

377	45

260	4

379	41

378	56

353	11

377	44

379	7

930	1016

296	16

686	14468

0	2

286	3

133	15

7	43

350	4

33	7

7	1

395	27

1645	234

1	4

322	14

0	1

0	1

6	38

6	33

3	15

3	21

1015	604

6	3

0	2

7	46

5	3

0	10

3	16

4	18

3	16

5	24

0	5

6	48

7	1

24	9

27	49

16	72

27	6

24	78

3	14

23	63

27	3

8	4

20	2

23	1

27	2

23	55

15	61

7	1

28	4

14	111

20	5

9	7

6	2

15	62

1436	50

70	6

617	52

395	18

755	35

402	3

608	1

665	408

750	177

612	23

0	2

1430	32

765	151

2358	151

1326	365

643	183

636	2

1176	75

2161	248

401	12

861	147

912	160

707	54

5	32

8	49

10	49

10	5

10	43

10	3

2801	3287

15	60

8	1

9	3

23	64

11	44

38	63

7	1

9	52

3	18

13	52

7	45

360	11

7	1

6	30

172	37

179	5

171	43

176	38

184	37

182	7

177	43

184	1

182	5

182	38

171	2

175	42

178	36

181	7

171	2

177	2

187	2

183	32

181	38

174	12

174	41

184	1

176	40

183	4

185	35

178	2

174	7

177	6

174	10

188	33

170	5

177	6

170	7

172	44

185	5

183	34

174	7

175	47

180	39

174	33

172	37

174	37

171	40

171	6

175	42

171	38

178	34

178	1

182	36

176	1

183	1

180	53

176	2

177	14

183	1

181	35

178	2

186	39

185	33

183	7

183	1

184	1

182	15

171	42

185	33

171	6

182	35

179	5

184	1

173	8

170	39

180	40

185	2

170	1

176	43

174	10

170	37

175	40

185	33

178	5

178	1

185	34

173	43

174	6

175	4

174	42

176	40

175	6

181	1

171	35

170	38

176	39

170	7

177	2

185	28

179	1

175	5

172	60

175	5

178	1

182	8

176	40

175	35

181	3

184	2

182	7

181	43

172	35

179	52

176	41

170	39

181	7

177	3

170	1

170	38

185	41

175	7

176	3

183	7

179	52

177	3

170	43

172	6

184	33

181	36

170	2

177	2

172	37

183	30

183	33

178	1

175	2

180	36

171	2

181	6

176	39

184	30

178	43

185	40

185	31

183	1

184	1

170	6

175	5

182	37

171	42

181	5

170	2

181	6

187	36

177	2

176	2

2941	18130

181	12

184	1

183	58

174	3

173	43

185	35

176	2

185	38

174	19

177	3

181	35

185	2

181	38

183	5

184	36

176	2

186	28

171	3

176	39

170	4

178	1

186	32

176	4

181	48

183	3

177	39

185	3

181	37

182	41

185	1

172	40

181	35

182	37

175	33

181	3

183	34

185	2

175	4

182	41

174	37

176	1
